symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MTH,2016-12-31,False,FY,2016,10-K,3029227000.0,,149541000.0,3.74,3.55,0.0,2888691000.0,,,131702000.0,1421495000.0,-103402000.0,-20106000.0,-6998000.0
MFA,2016-12-31,False,FY,2016,10-K,566492000.0,,297668000.0,0.8,0.8,0.0,12484022000.0,,,260112000.0,3033902000.0,85512000.0,1026926000.0,-1017333000.0
MTX,2016-12-31,False,FY,2016,10-K,1638000000.0,220900000.0,133400000.0,3.82,3.79,0.2,2863400000.0,751100000.0,295500000.0,188500000.0,1030900000.0,225100000.0,-61600000.0,-194800000.0
MEP,2016-12-31,False,FY,2016,10-K,1966000000.0,-152600000.0,-99900000.0,-2.17,-2.17,0.0,4916000000.0,140700000.0,301900000.0,7400000.0,,226900000.0,-37100000.0,-200400000.0
MRC,2016-12-31,False,FY,2016,10-K,3041000000.0,-56000000.0,-107000000.0,-1.1,-1.1,0.0,2164000000.0,1117000000.0,433000000.0,109000000.0,763000000.0,253000000.0,16000000.0,-226000000.0
NOV,2016-12-31,False,FY,2016,10-K,7251000000.0,-2411000000.0,-2412000000.0,-6.41,-6.41,0.61,21140000000.0,7876000000.0,3047000000.0,1408000000.0,14003000000.0,960000000.0,-488000000.0,-1141000000.0
NHI,2016-12-31,False,FY,2016,10-K,248500000.0,,151540000.0,3.88,3.87,3.6,2403633000.0,,,4832000.0,1209590000.0,177219000.0,-329838000.0,144165000.0
NCI,2016-12-31,False,FY,2016,10-K,1034480000.0,96736000.0,58098000.0,1.23,1.19,0.0,1054797000.0,299808000.0,174974000.0,8291000.0,634477000.0,110027000.0,-51526000.0,-58798000.0
NLSNNV,2016-12-31,False,FY,2016,10-K,6309000000.0,1143000000.0,502000000.0,1.4,1.39,1.21,15730000000.0,2222000000.0,1594000000.0,754000000.0,4293000000.0,1296000000.0,-642000000.0,-248000000.0
NWE,2016-12-31,False,FY,2016,10-K,1257247000.0,245947000.0,164172000.0,3.4,3.39,2.0,5499321000.0,280195000.0,613832000.0,5079000.0,1676227000.0,289012000.0,-286547000.0,-9366000.0
ENTG,2016-12-31,False,FY,2016,10-K,1175270000.0,155536000.0,97147000.0,0.69,0.68,0.0,1699532000.0,800131000.0,261571000.0,406389000.0,899218000.0,207555000.0,-66686000.0,-81747000.0
OIS,2016-12-31,False,FY,2016,10-K,694444000.0,-69283000.0,-46390000.0,-0.92,-0.92,0.0,1383898000.0,489977000.0,107232000.0,68800000.0,1204307000.0,149257000.0,-29292000.0,-84875000.0
FFIN,2016-12-31,False,FY,2016,10-K,317420000.0,,104774000.0,1.59,1.59,0.7,6809931000.0,,,256486000.0,837885000.0,160742000.0,-251960000.0,74818000.0
ORC,2016-12-31,False,FY,2016,10-K,87127000.0,,1979000.0,0.08,0.08,1.68,3138694000.0,,,73475000.0,332779000.0,47046000.0,-919748000.0,888948000.0
